ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Nuclei
1,1,99,169,50,30,37,17,41.96969696969697,22.444444444444443,1.4440250672045498,118,0.7260993551796175,11.227230955528665,1,0.5857988165680473,0.6925087539760468,14.655752854349764,14.866068747318506,4.123105625617661,1.8135450192374567,1.4142135623730951,9.192388155425117,10.077146103033387,-47.80368309967677,42.384776310850235,0.8389830508474576,41.96969696969697,22.444444444444443,0,1,0
1,2,214,405,98,47,71,32,82.80373831775701,38.2196261682243,1.8496352751789198,282,0.8515203378681135,16.50676414605009,1,0.528395061728395,0.5406471283390005,24.544235114372583,26.076809620810597,6.324555320336759,2.3665972623579075,2.0,13.728129459672882,12.869072016703141,-89.05073911089295,70.5269119345812,0.7588652482269503,82.80373831775701,38.2196261682243,0,2,3
1,3,325,567,45,51,18,30,30.806153846153848,41.012307692307694,1.4430613483214927,370,0.8165216321320965,20.342144725641095,1,0.5731922398589065,0.6929712317242488,27.448658334558807,26.870057685088806,7.211102550927978,3.0567047436720522,2.8284271247461903,15.16365080488482,15.846517789308058,-62.24189049166929,76.76955262170047,0.8783783783783784,30.806153846153848,41.012307692307694,0,3,2
1,4,122,180,83,53,68,41,74.58196721311475,46.59016393442623,1.3681764293554817,139,0.787881330131934,12.463355264843006,1,0.6777777777777778,0.7308998887453998,16.395968109247487,15.264337522473747,4.47213595499958,2.008370472278008,2.0,9.838946998982182,10.097081393036804,60.5215342710231,45.798989873223334,0.8776978417266187,74.58196721311475,46.59016393442623,0,4,3
1,5,407,702,27,72,1,45,12.72972972972973,57.13759213759214,1.2604412931266062,442,0.6084363418154969,22.764193258431348,1,0.5797720797720798,0.7933729285553913,25.957681064317068,26.832815729997478,9.848857801796104,3.7163369873092638,3.1622776601683795,18.858860086802302,20.600085328814846,-49.177492866010496,80.29036790187178,0.920814479638009,12.72972972972973,57.13759213759214,0,5,4
1,6,809,1776,101,86,53,49,73.21384425216317,67.41903584672436,3.430627567246624,1118,0.8152424145245356,32.09440436728413,1,0.455518018018018,0.29149185692651175,46.013895936110025,50.60632371551998,10.44030650891055,3.593963400646481,3.0,29.854742678130027,26.647560706948443,-61.082140668716676,186.75230867899734,0.723613595706619,73.21384425216317,67.41903584672436,0,6,7
1,7,717,1476,48,84,12,43,31.281729428172945,62.34309623430963,1.7791320573748621,821,0.9012405039439771,30.2144461073691,1,0.48577235772357724,0.5620718236483895,47.131092516243655,45.65084884205331,8.48528137423857,3.7939185474276695,3.605551275463989,21.693045781865617,20.42280866180218,-41.001445825743545,126.61017305526642,0.8733252131546894,31.281729428172945,62.34309623430963,0,7,8
1,8,325,660,106,92,76,70,90.48307692307692,78.84,1.7141010679397939,384,0.8426335457600886,20.342144725641095,1,0.49242424242424243,0.5833961711498823,29.156540320129153,29.614185789921695,6.4031242374328485,2.8309360208553067,2.8284271247461903,16.099689437998485,15.700430337213716,-66.53115357892126,83.66904755831213,0.8463541666666666,90.48307692307692,78.84,0,8,10
1,9,975,1620,57,107,21,62,39.13230769230769,84.41230769230769,1.5293908330610038,1097,0.8257478749609708,35.233628199729644,1,0.6018518518518519,0.653855102556452,47.3977703380568,46.87216658103186,12.727922061357855,5.134596518672928,4.47213595499958,27.36234614533595,26.7342100371455,-34.72709836048714,136.88834764831844,0.8887876025524157,39.13230769230769,84.41230769230769,0,9,11
1,10,333,572,173,109,147,87,160.21621621621622,97.30030030030031,1.558982561153178,393,0.6956322651562475,20.590987552733093,1,0.5821678321678322,0.6414439936135661,25.408227146685203,27.730849247724095,8.0,3.087143967527173,2.8284271247461903,18.260174212316567,18.253220719948388,46.5096428630329,80.76955262170047,0.8473282442748091,160.21621621621622,97.30030030030031,0,10,12
1,11,771,1520,97,118,57,80,75.00129701686122,97.81582360570687,2.416890933992216,1009,0.8485621968420125,31.331576548121713,1,0.5072368421052632,0.41375470689866917,46.19482888107825,50.99019513592785,11.045361017187261,3.800190653901465,3.1622776601683795,26.727731948372714,24.44148263113505,45.720164456935976,153.0243866176395,0.7641228939544104,75.00129701686122,97.81582360570687,0,11,13
1,12,747,1369,122,110,85,73,103.20749665327979,90.32530120481928,1.6467791621220085,878,0.7999995309057112,30.8400703617415,1,0.545653761869978,0.6072459641227297,41.087801455445494,40.311288741492746,10.63014581273465,4.319309309098965,4.0,25.685734109364265,24.652706571983703,-54.036411392814706,124.3319984622144,0.8507972665148064,103.20749665327979,90.32530120481928,0,12,10
1,13,552,986,148,108,119,74,132.2554347826087,90.33333333333333,1.7779440590956253,656,0.6331853989629589,26.510907730475957,1,0.5598377281947262,0.5624473924723274,31.82832555134917,34.20526275297414,9.219544457292887,3.576374941649772,3.1622776601683795,23.75388513114285,24.635129128082514,41.93214761824752,111.05382386916239,0.8414634146341463,132.2554347826087,90.33333333333333,0,13,14
1,14,310,648,64,110,40,83,52.725806451612904,99.12903225806451,1.8074794150299796,377,0.6677144852041664,19.867165345562018,1,0.4783950617283951,0.5532566466232278,24.91527690420883,27.202941017470888,8.0,3.0237990301459194,2.8284271247461903,18.4,18.547367340605163,-21.536210190987756,83.9116882454314,0.8222811671087533,52.725806451612904,99.12903225806451,0,14,11
1,15,255,494,122,113,96,94,108.6156862745098,105.17254901960784,2.0185861482346255,310,0.8686148028255153,18.01877032173579,1,0.5161943319838057,0.4953962459687737,27.5155338369894,29.154759474226502,6.082762530298219,2.512039327751047,2.0,14.234821283960729,13.633615890450505,-65.95002452519498,80.42640687119285,0.8225806451612904,108.6156862745098,105.17254901960784,0,15,15
